TF	 Summit ID	Chromosome	Summit start	Summit end	TSS start	TSS strand	GeneID	Distance to TSS from summit center	Motif coincidence
PIF1	1	Chr1	1562	1563	3631	+	AT1G01010	2068	G&PBE
PIF1	4	Chr1	51415	51416	51198	-	AT1G01100	216	PBE
PIF1	4	Chr1	51415	51416	52239	+	AT1G01110	823	PBE
PIF1	5	Chr1	55511	55512	56624	+	AT1G01115	1112	PBE
PIF1	7	Chr1	108270	108271	105329	-	AT1G01250	2940	G
PIF1	7	Chr1	108270	108271	108946	+	AT1G01260	675	G
PIF1	11	Chr1	190414	190415	190596	+	AT1G01520	181	G&PBE
PIF1	12	Chr1	195729	195730	193669	-	AT1G01530	2059	PBE
PIF1	12	Chr1	195729	195730	195780	+	AT1G01540	50	PBE
PIF1	13	Chr1	239814	239815	237816	-	AT1G01650	1997	G
PIF1	16	Chr1	268222	268223	268330	+	AT1G01720	107	G
PIF1	19	Chr1	364326	364327	363093	-	AT1G02060	1232	G
PIF1	19	Chr1	364326	364327	365209	+	AT1G02065	882	G
PIF1	21	Chr1	434309	434310	433818	-	AT1G02228	490	G
PIF1	22	Chr1	437038	437039	436775	-	AT1G02230	262	PBE
PIF1	23	Chr1	469310	469311	467843	-	AT1G02340	1466	G
PIF1	23	Chr1	469310	469311	469818	+	AT1G02350	507	G
PIF1	26	Chr1	485771	485772	483918	-	AT1G02391	1852	PBE
PIF1	26	Chr1	485771	485772	486801	+	AT1G02400	1029	PBE
PIF1	30	Chr1	575603	575604	574980	-	AT1G02660	622	G&PBE
PIF1	30	Chr1	575603	575604	576046	+	AT1G02670	442	G&PBE
PIF1	31	Chr1	588257	588258	588329	+	AT1G02700	71	G
PIF1	33	Chr1	662547	662548	662455	-	AT1G02930	91	G
PIF1	34	Chr1	687453	687454	687314	-	AT1G02990	138	G
PIF1	35	Chr1	728323	728324	726890	-	AT1G03060	1432	G
PIF1	35	Chr1	728323	728324	729901	+	AT1G03070	1577	G
PIF1	37	Chr1	771473	771474	773411	+	AT1G03180	1937	PBE
PIF1	40	Chr1	868233	868234	867732	-	AT1G03470	500	PBE
PIF1	41	Chr1	898585	898586	897517	-	AT1G03590	1067	G&PBE
PIF1	41	Chr1	898585	898586	898876	+	AT1G03600	290	G&PBE
PIF1	43	Chr1	899961	899962	900887	+	AT1G03610	925	G&PBE
PIF1	44	Chr1	922357	922358	923426	+	AT1G03710	1068	G
PIF1	48	Chr1	982072	982073	981884	-	AT1G03860	187	PBE
PIF1	49	Chr1	984150	984151	983539	-	AT1G03870	610	PBE
PIF1	49	Chr1	984150	984151	985751	+	AT1G03880	1600	PBE
PIF1	51	Chr1	1071968	1071969	1071046	-	AT1G04120	921	PBE
PIF1	51	Chr1	1071968	1071969	1073427	+	AT1G04130	1458	PBE
PIF1	53	Chr1	1103349	1103350	1100607	-	AT1G04171	2741	G
PIF1	53	Chr1	1103349	1103350	1104623	+	AT1G04180	1273	G
PIF1	54	Chr1	1129697	1129698	1129550	-	AT1G04240	146	PBE
PIF1	55	Chr1	1131535	1131536	1129550	-	AT1G04240	1984	G
PIF1	55	Chr1	1131535	1131536	1136258	+	AT1G04250	4722	G
PIF1	59	Chr1	1170797	1170798	1168877	-	AT1G04360	1919	G
PIF1	59	Chr1	1170797	1170798	1175177	+	AT1G04370	4379	G
PIF1	60	Chr1	1174418	1174419	1175177	+	AT1G04370	758	G
PIF1	69	Chr1	1548293	1548294	1547848	-	AT1G05300	444	PBE
PIF1	71	Chr1	1744654	1744655	1744773	+	AT1G05805	118	G&PBE
PIF1	72	Chr1	1762082	1762083	1762224	+	AT1G05835	141	PBE
PIF1	74	Chr1	1773870	1773871	1773292	-	AT1G05870	577	G
PIF1	74	Chr1	1773870	1773871	1775643	+	AT1G05880	1772	G
PIF1	76	Chr1	1938739	1938740	1936818	-	AT1G06350	1920	G
PIF1	77	Chr1	1953887	1953888	1952784	-	AT1G06400	1102	G
PIF1	77	Chr1	1953887	1953888	1954850	+	AT1G06410	962	G
PIF1	78	Chr1	2013733	2013734	2013544	-	AT1G06570	188	G
PIF1	79	Chr1	2083196	2083197	2081938	-	AT1G06770	1257	PBE
PIF1	79	Chr1	2083196	2083197	2083311	+	AT1G06780	114	PBE
PIF1	80	Chr1	2104943	2104944	2103478	-	AT1G06840	1464	G
PIF1	80	Chr1	2104943	2104944	2105048	+	AT1G06850	104	G
PIF1	84	Chr1	2175081	2175082	2174893	-	AT1G07090	187	G
PIF1	84	Chr1	2175081	2175082	2177885	+	AT1G07100	2803	G
PIF1	90	Chr1	2277677	2277678	2277807	+	AT1G07420	129	G
PIF1	94	Chr1	2368466	2368467	2368384	-	AT1G07645	81	G
PIF1	94	Chr1	2368466	2368467	2368837	+	AT1G07660	370	G
PIF1	95	Chr1	2374933	2374934	2374544	-	AT1G07670	388	G&PBE
PIF1	95	Chr1	2374933	2374934	2376012	+	AT1G07680	1078	G&PBE
PIF1	97	Chr1	2488904	2488905	2488026	-	AT1G08010	877	PBE
PIF1	100	Chr1	2567427	2567428	2565120	-	AT1G08180	2306	G
PIF1	100	Chr1	2567427	2567428	2567475	+	AT1G08190	47	G
PIF1	102	Chr1	2712242	2712243	2710911	-	AT1G08560	1330	G
PIF1	102	Chr1	2712242	2712243	2712883	+	AT1G08570	640	G
PIF1	105	Chr1	2848260	2848261	2847799	-	AT1G08880	460	PBE
PIF1	105	Chr1	2848260	2848261	2848348	+	AT1G08890	87	PBE
PIF1	107	Chr1	2990513	2990514	2993404	+	AT1G09260	2890	PBE
PIF1	108	Chr1	2991971	2991972	2993404	+	AT1G09260	1432	G&PBE
PIF1	109	Chr1	3019611	3019612	3019819	+	AT1G09350	207	PBE
PIF1	111	Chr1	3073126	3073127	3072049	-	AT1G09520	1076	G
PIF1	111	Chr1	3073126	3073127	3076582	+	AT1G09530	3455	G
PIF1	113	Chr1	3081315	3081316	3086159	+	AT1G09540	4843	PBE
PIF1	116	Chr1	3296416	3296417	3296197	-	AT1G10090	218	G
PIF1	122	Chr1	3441600	3441601	3440319	-	AT1G10460	1280	PBE
PIF1	123	Chr1	3484370	3484371	3480987	-	AT1G10550	3382	G
PIF1	123	Chr1	3484370	3484371	3484580	+	AT1G10560	209	G
PIF1	125	Chr1	3548081	3548082	3545470	-	AT1G10682	2610	G
PIF1	126	Chr1	3570855	3570856	3570837	-	AT1G10740	17	PBE
PIF1	126	Chr1	3570855	3570856	3572710	+	AT1G10745	1854	PBE
PIF1	128	Chr1	3757239	3757240	3756997	-	AT1G11210	241	G
PIF1	129	Chr1	3804189	3804190	3804184	-	AT1G11310	4	PBE
PIF1	131	Chr1	4010640	4010641	4010432	-	AT1G11880	207	G
PIF1	131	Chr1	4010640	4010641	4010779	+	AT1G11890	138	G
PIF1	132	Chr1	4082628	4082629	4080105	-	AT1G12070	2522	PBE
PIF1	132	Chr1	4082628	4082629	4084162	+	AT1G12080	1533	PBE
PIF1	134	Chr1	4103351	4103352	4105233	+	AT1G12110	1881	G
PIF1	137	Chr1	4229769	4229770	4229137	-	AT1G12420	631	G
PIF1	139	Chr1	4266909	4266910	4265043	-	AT1G12500	1865	PBE
PIF1	144	Chr1	4371464	4371465	4371292	-	AT1G12820	171	PBE
PIF1	145	Chr1	4398209	4398210	4398192	-	AT1G12920	16	G&PBE
PIF1	148	Chr1	4524154	4524155	4522781	-	AT1G13240	1372	G
PIF1	149	Chr1	4526241	4526242	4526063	-	AT1G13245	177	G&PBE
PIF1	152	Chr1	4541843	4541844	4542168	+	AT1G13260	324	G&PBE
PIF1	153	Chr1	4547438	4547439	4547454	+	AT1G13280	15	PBE
PIF1	158	Chr1	4606166	4606167	4606500	+	AT1G13430	333	PBE
PIF1	161	Chr1	4680279	4680280	4679811	-	AT1G13640	467	PBE
PIF1	162	Chr1	4713187	4713188	4713674	+	AT1G13740	486	G
PIF1	163	Chr1	4772851	4772852	4773576	+	AT1G13950	724	G
PIF1	167	Chr1	4903120	4903121	4907953	+	AT1G14350	4832	G
PIF1	169	Chr1	4922488	4922489	4921595	-	AT1G14380	892	PBE
PIF1	169	Chr1	4922488	4922489	4924277	+	AT1G14390	1788	PBE
PIF1	177	Chr1	5145669	5145670	5143688	-	AT1G14910	1980	PBE
PIF1	177	Chr1	5145669	5145670	5149226	+	AT1G14920	3556	PBE
PIF1	178	Chr1	5146780	5146781	5143688	-	AT1G14910	3091	G
PIF1	178	Chr1	5146780	5146781	5149226	+	AT1G14920	2445	G
PIF1	179	Chr1	5148035	5148036	5143688	-	AT1G14910	4346	G&PBE
PIF1	179	Chr1	5148035	5148036	5149226	+	AT1G14920	1190	G&PBE
PIF1	182	Chr1	5195963	5195964	5194202	-	AT1G15100	1760	PBE
PIF1	182	Chr1	5195963	5195964	5199018	+	AT1G15110	3054	PBE
PIF1	183	Chr1	5202504	5202505	5202648	+	AT1G15120	143	PBE
PIF1	185	Chr1	5274244	5274245	5274073	-	AT1G15320	170	G
PIF1	185	Chr1	5274244	5274245	5274346	+	AT1G15330	101	G
PIF1	187	Chr1	5349721	5349722	5346165	-	AT1G15550	3555	G
PIF1	189	Chr1	5388589	5388590	5389952	+	AT1G15670	1362	PBE
PIF1	192	Chr1	5421484	5421485	5421032	-	AT1G15750	451	G
PIF1	198	Chr1	5535659	5535660	5535973	+	AT1G16160	313	PBE
PIF1	199	Chr1	5543100	5543101	5543152	+	AT1G16190	51	G
PIF1	202	Chr1	5727507	5727508	5727311	-	AT1G16730	195	G
PIF1	202	Chr1	5727507	5727508	5727690	+	AT1G16740	182	G
PIF1	203	Chr1	5765742	5765743	5765650	-	AT1G16850	91	G
PIF1	203	Chr1	5765742	5765743	5767300	+	AT1G16858	1557	G
PIF1	204	Chr1	5851656	5851657	5850933	-	AT1G17110	722	G
PIF1	204	Chr1	5851656	5851657	5851953	+	AT1G17120	296	G
PIF1	207	Chr1	5963866	5963867	5962480	-	AT1G17400	1385	G
PIF1	210	Chr1	6139498	6139499	6138431	-	AT1G17830	1066	PBE
PIF1	210	Chr1	6139498	6139499	6142564	+	AT1G17840	3065	PBE
PIF1	211	Chr1	6174527	6174528	6173221	-	AT1G17940	1305	G
PIF1	211	Chr1	6174527	6174528	6177617	+	AT1G17950	3089	G
PIF1	212	Chr1	6219558	6219559	6218339	-	AT1G18070	1218	PBE
PIF1	212	Chr1	6219558	6219559	6220648	+	AT1G18075	1089	PBE
PIF1	214	Chr1	6231661	6231662	6230187	-	AT1G18100	1473	G
PIF1	214	Chr1	6231661	6231662	6232092	+	AT1G18120	430	G
